"","OBS","MOD","MONTH_NUM","METHOD","KF","Month.ordered"
"1234",19.4633333333333,28.1500759124756,"FEB","cubist",4,"FEB"
"1235",24.05,24.9708557128906,"FEB","cubist",4,"FEB"
"1236",17.2933333333333,17.4258041381836,"FEB","cubist",4,"FEB"
"1237",20.75,20.9683723449707,"FEB","cubist",4,"FEB"
"1238",25.45,24.3839378356934,"FEB","cubist",4,"FEB"
"1239",23.9633333333333,23.0137805938721,"MAR","cubist",4,"MAR"
"1240",28.3533333333333,28.4612426757812,"MAR","cubist",4,"MAR"
"1241",28.62,30.2294445037842,"MAR","cubist",4,"MAR"
"1242",24.7566666666667,25.140926361084,"MAR","cubist",4,"MAR"
"1243",19.28,18.3098201751709,"MAR","cubist",4,"MAR"
"1244",21.3,21.9538249969482,"MAR","cubist",4,"MAR"
"1245",25.85,24.5225143432617,"MAR","cubist",4,"MAR"
"1246",24.5266666666667,23.6956520080566,"APR","cubist",4,"APR"
"1247",28.94,29.5987510681152,"APR","cubist",4,"APR"
"1248",29.14,30.5910110473633,"APR","cubist",4,"APR"
"1249",25.0233333333333,26.2452144622803,"APR","cubist",4,"APR"
"1250",19.9733333333333,19.1752452850342,"APR","cubist",4,"APR"
"1251",21.45,22.1357440948486,"APR","cubist",4,"APR"
"1252",25.85,24.7503414154053,"APR","cubist",4,"APR"
"1253",24.8033333333333,23.9930591583252,"MAY","cubist",4,"MAY"
"1254",28.26,27.945161819458,"MAY","cubist",4,"MAY"
"1255",28.48,28.4413261413574,"MAY","cubist",4,"MAY"
"1256",25.9266666666667,25.3637142181396,"MAY","cubist",4,"MAY"
"1257",20.5933333333333,19.7466583251953,"MAY","cubist",4,"MAY"
"1258",20.9333333333333,21.8751468658447,"MAY","cubist",4,"MAY"
"1259",25.65,24.809986114502,"MAY","cubist",4,"MAY"
"1260",24.6933333333333,23.6934471130371,"JUN","cubist",4,"JUN"
"1261",26.99,27.0316753387451,"JUN","cubist",4,"JUN"
"1262",27.6466666666667,27.1000823974609,"JUN","cubist",4,"JUN"
"1263",25.5733333333333,26.5580196380615,"JUN","cubist",4,"JUN"
"1264",20.1166666666667,19.3370132446289,"JUN","cubist",4,"JUN"
"1265",20.6666666666667,21.327299118042,"JUN","cubist",4,"JUN"
"1266",25.3833333333333,24.6130752563477,"JUN","cubist",4,"JUN"
"1267",24.4266666666667,23.590633392334,"JUL","cubist",4,"JUL"
"1268",27.24,27.310396194458,"JUL","cubist",4,"JUL"
"1269",27.8366666666667,27.7331676483154,"JUL","cubist",4,"JUL"
"1270",25.3266666666667,26.1692409515381,"JUL","cubist",4,"JUL"
"1271",20.02,19.2023963928223,"JUL","cubist",4,"JUL"
"1272",20.9,21.3771858215332,"JUL","cubist",4,"JUL"
"1273",25.1833333333333,24.3789749145508,"JUL","cubist",4,"JUL"
"1274",24.3633333333333,23.5131149291992,"AUG","cubist",4,"AUG"
"1275",27.2733333333333,27.2655487060547,"AUG","cubist",4,"AUG"
"1276",27.2433333333333,27.5745048522949,"AUG","cubist",4,"AUG"
"1277",25.3833333333333,26.0797634124756,"AUG","cubist",4,"AUG"
"1278",20.0166666666667,19.2571239471436,"AUG","cubist",4,"AUG"
"1279",20.8666666666667,21.2049217224121,"AUG","cubist",4,"AUG"
"1280",25.1333333333333,24.3088569641113,"AUG","cubist",4,"AUG"
"1281",24.3766666666667,23.4615001678467,"SEP","cubist",4,"SEP"
"1282",26.77,26.8363361358643,"SEP","cubist",4,"SEP"
"1283",26.2633333333333,26.9687728881836,"SEP","cubist",4,"SEP"
"1284",25.6166666666667,26.313497543335,"SEP","cubist",4,"SEP"
"1285",20.0333333333333,17.9824142456055,"SEP","cubist",4,"SEP"
"1286",20.5166666666667,21.0450325012207,"SEP","cubist",4,"SEP"
"1287",25.05,24.3816699981689,"SEP","cubist",4,"SEP"
"1288",24.1833333333333,23.2935371398926,"OCT","cubist",4,"OCT"
"1289",26.8166666666667,26.5973300933838,"OCT","cubist",4,"OCT"
"1290",26.2166666666667,26.6791210174561,"OCT","cubist",4,"OCT"
"1291",25.5033333333333,26.2371978759766,"OCT","cubist",4,"OCT"
"1292",19.91,19.2273178100586,"OCT","cubist",4,"OCT"
"1293",20.2,20.9583778381348,"OCT","cubist",4,"OCT"
"1294",24.9833333333333,24.300630569458,"OCT","cubist",4,"OCT"
"1295",23.7133333333333,22.9513664245605,"NOV","cubist",4,"NOV"
"1296",26.72,26.4764881134033,"NOV","cubist",4,"NOV"
"1297",27.1566666666667,26.7469177246094,"NOV","cubist",4,"NOV"
"1298",25.1433333333333,25.9220066070557,"NOV","cubist",4,"NOV"
"1299",19.4766666666667,18.6520652770996,"NOV","cubist",4,"NOV"
"1300",20.15,20.780216217041,"NOV","cubist",4,"NOV"
"1301",25.1,24.246072769165,"NOV","cubist",4,"NOV"
"1302",23.055,22.3133907318115,"DIC","cubist",4,"DIC"
"1303",26.4575,26.4022979736328,"DIC","cubist",4,"DIC"
"1304",27.4075,26.9926624298096,"DIC","cubist",4,"DIC"
"1305",24.4675,25.1648578643799,"DIC","cubist",4,"DIC"
"1306",18.46,17.7007007598877,"DIC","cubist",4,"DIC"
"1307",20.025,20.5203418731689,"DIC","cubist",4,"DIC"
"1308",25.0375,24.287239074707,"DIC","cubist",4,"DIC"
"1309",22.94,22.1775011780718,"JAN","OK",4,"JAN"
"1310",26.45,27.7895585521275,"JAN","OK",4,"JAN"
"1311",26.9666666666667,26.5174933165983,"JAN","OK",4,"JAN"
"1312",24.2533333333333,23.6585605956601,"JAN","OK",4,"JAN"
"1313",18.2166666666667,16.734578486767,"JAN","OK",4,"JAN"
"1314",20.2666666666667,24.4376632811252,"JAN","OK",4,"JAN"
"1315",24.9,23.5387899016505,"JAN","OK",4,"JAN"
"1316",23.1466666666667,22.2802560923385,"FEB","OK",4,"FEB"
"1317",27.3666666666667,27.8166003870376,"FEB","OK",4,"FEB"
"1318",19.4633333333333,27.101418418273,"FEB","OK",4,"FEB"
"1319",24.05,23.7531544196487,"FEB","OK",4,"FEB"
"1320",17.2933333333333,16.4258593326556,"FEB","OK",4,"FEB"
"1321",20.75,25.0926591938014,"FEB","OK",4,"FEB"
"1322",25.45,23.774263813594,"FEB","OK",4,"FEB"
"1323",23.9633333333333,23.044105839061,"MAR","OK",4,"MAR"
"1324",28.3533333333333,29.4950070637826,"MAR","OK",4,"MAR"
"1325",28.62,27.7741087727874,"MAR","OK",4,"MAR"
"1326",24.7566666666667,24.5762622484261,"MAR","OK",4,"MAR"
"1327",19.28,17.4647986071053,"MAR","OK",4,"MAR"
"1328",21.3,25.3302503706601,"MAR","OK",4,"MAR"
"1329",25.85,24.3152980392948,"MAR","OK",4,"MAR"
"1330",24.5266666666667,23.8085522181223,"APR","OK",4,"APR"
"1331",28.94,29.8938741709198,"APR","OK",4,"APR"
"1332",29.14,30.7176996257782,"APR","OK",4,"APR"
"1333",25.0233333333333,25.2656801583333,"APR","OK",4,"APR"
"1334",19.9733333333333,18.6884866852405,"APR","OK",4,"APR"
"1335",21.45,25.212107751014,"APR","OK",4,"APR"
"1336",25.85,23.7722925282855,"APR","OK",4,"APR"
"1337",24.8033333333333,24.1376550351826,"MAY","OK",4,"MAY"
"1338",28.26,28.0386038287433,"MAY","OK",4,"MAY"
"1339",28.48,26.716472751873,"MAY","OK",4,"MAY"
"1340",25.9266666666667,25.1681838530128,"MAY","OK",4,"MAY"
"1341",20.5933333333333,20.3441210310782,"MAY","OK",4,"MAY"
"1342",20.9333333333333,24.9039302421209,"MAY","OK",4,"MAY"
"1343",25.65,24.0046367827265,"MAY","OK",4,"MAY"
"1344",24.6933333333333,24.0410126670017,"JUN","OK",4,"JUN"
"1345",26.99,26.6399963466222,"JUN","OK",4,"JUN"
